state_name,state_abbr,county_name,state_fips,county_fips
 Alabama,AL,Autauga County,01,001
 Alabama,AL,Baldwin County,01,003
 Alabama,AL,Barbour County,01,005
 Alabama,AL,Bibb County,01,007
 Alabama,AL,Blount County,01,009
 Alabama,AL,Bullock County,01,011
 Alabama,AL,Butler County,01,013
 Alabama,AL,Calhoun County,01,015
 Alabama,AL,Cherokee County,01,019
 Alabama,AL,Chilton County,01,021
 Alabama,AL,Choctaw County,01,023
 Alabama,AL,Clarke County,01,025
 Alabama,AL,Clay County,01,027
 Alabama,AL,Cleburne County,01,029
 Alabama,AL,Coffee County,01,031
 Alabama,AL,Colbert County,01,033
 Alabama,AL,Conecuh County,01,035
 Alabama,AL,Coosa County,01,037
 Alabama,AL,Crenshaw County,01,041
 Alabama,AL,Cullman County,01,043
 Alabama,AL,Dallas County,01,047
 Alabama,AL,DeKalb County,01,049
 Alabama,AL,Escambia County,01,053
 Alabama,AL,Etowah County,01,055
 Alabama,AL,Franklin County,01,059
 Alabama,AL,Greene County,01,063
 Alabama,AL,Hale County,01,065
 Alabama,AL,Houston County,01,069
 Alabama,AL,Jackson County,01,071
 Alabama,AL,Lamar County,01,075
 Alabama,AL,Lauderdale County,01,077
 Alabama,AL,Lee County,01,081
 Alabama,AL,Lowndes County,01,085
 Alabama,AL,Macon County,01,087
 Alabama,AL,Marengo County,01,091
 Alabama,AL,Marion County,01,093
 Alabama,AL,Mobile County,01,097
 Alabama,AL,Monroe County,01,099
 Alabama,AL,Morgan County,01,103
 Alabama,AL,Pickens County,01,107
 Alabama,AL,Pike County,01,109
 Alabama,AL,Russell County,01,113
 Alabama,AL,St. Clair County,01,115
 Alabama,AL,Sumter County,01,119
 Alabama,AL,Tallapoosa County,01,123
 Alabama,AL,Tuscaloosa County,01,125
 Alabama,AL,Washington County,01,129
 Alabama,AL,Wilcox County,01,131
 Alabama,AL,Chambers County,01,017
 Alabama,AL,Covington County,01,039
 Alabama,AL,Dale County,01,045
 Alabama,AL,Elmore County,01,051
 Alabama,AL,Fayette County,01,057
 Alabama,AL,Geneva County,01,061
 Alabama,AL,Henry County,01,067
 Alabama,AL,Jefferson County,01,073
 Alabama,AL,Lawrence County,01,079
 Alabama,AL,Limestone County,01,083
 Alabama,AL,Madison County,01,089
 Alabama,AL,Marshall County,01,095
 Alabama,AL,Montgomery County,01,101
 Alabama,AL,Perry County,01,105
 Alabama,AL,Randolph County,01,111
 Alabama,AL,Shelby County,01,117
 Alabama,AL,Talladega County,01,121
 Alabama,AL,Walker County,01,127
 Alabama,AL,Winston County,01,133
 Alabama,AL,Autauga County,01,001
 Alabama,AL,Baldwin County,01,003
 Alabama,AL,Barbour County,01,005
 Alabama,AL,Bibb County,01,007
 Alabama,AL,Blount County,01,009
 Alabama,AL,Bullock County,01,011
