sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-230106,165766213.13939396,160901045.3818182,170635523.92727277,PMMoV0
166-230109,248228538.9,241563709.07428572,254899600.09142855,PMMoV1
166-230111,309282630.46228707,300621281.47931874,317952206.63746953,PMMoV2
166-230113,266184903.03244835,258855552.99115047,274073507.9174041,PMMoV3
166-230118,188444714.2,182230810.6331237,194663531.2033543,PMMoV4
166-230120,270697454.0262467,264793031.55905515,276642983.0971129,PMMoV5
166-230123,407366571.18699193,365608624.7154472,451854178.6016261,PMMoV6
166-230125,329392033.5429769,309266247.3794549,348176100.6289308,PMMoV7
166-230127,266893578.9503546,259730583.88652477,274064300.7659574,PMMoV8
166-230130,364212375.2427983,340654789.2016461,389798438.3209877,PMMoV9
166-230201,313729072.3636364,292977951.51515156,333688770.6666667,PMMoV10
166-230203,333438986.2962963,302920391.0,364847903.7777778,PMMoV11
166-230206,297676059.67719305,290299650.47017545,305060713.9368421,PMMoV12
166-230208,307177793.92520326,296804973.3203252,316993954.0292683,PMMoV13
166-230210,278928006.3903904,272345887.13513505,285499586.4984985,PMMoV14
166-230213,649424336.0378251,597714255.0543736,698874067.2907801,PMMoV15
166-230215,564075224.8888888,548207711.9,579250907.5,PMMoV16
166-230217,289862558.62793916,252057517.8976487,324127678.4508991,PMMoV17
166-230222,267245501.0404625,239762652.05394995,296286851.5761079,PMMoV18
166-230224,1231718492.086331,1083731335.059952,1394365445.371703,PMMoV19
166-230227,260684503.28540307,240443782.7625273,279151082.1089325,PMMoV20
166-230301,159644571.92982456,153113234.6666667,166181075.7894737,PMMoV21
166-230306,187701519.0548523,181108962.43037975,194299586.83544305,PMMoV22
166-230308,167385871.8024691,151267948.87901235,185901044.70123455,PMMoV23
166-230313,255182311.76954737,244048896.4609053,266683696.1975309,PMMoV24
166-230315,511675607.18417054,502695988.79756474,520669346.4840184,PMMoV25
166-230317,331979891.5406163,322380412.14565825,341588124.5042017,PMMoV26
166-230320,1542433345.5238094,1410271732.3174603,1668406343.111111,PMMoV27
166-230322,220377835.94936708,209833652.18565404,230510135.4261603,PMMoV28
166-230324,124988528.6888069,114649616.17712176,134475238.80934808,PMMoV29
166-230327,278138284.10084033,269234246.45378155,287049878.5882353,PMMoV30
166-230329,173966226.46913582,155183862.7160494,194840909.2345679,PMMoV31
166-230331,195566285.10941473,190595849.1195929,200530198.2697201,PMMoV32
166-230403,324463031.73795766,308317480.6319846,341557367.8612717,PMMoV33
166-230405,536113666.3809523,494121006.5714286,575756618.0,PMMoV34
166-230410,2037813418.1196585,1979594434.1880343,2090129623.931624,PMMoV35
166-230412,373758901.5967079,339572817.55829906,407245182.81481487,PMMoV36
166-230414,333533486.57471263,313038898.3448276,353196804.0,PMMoV37
166-230417,239050472.0213334,214402571.60533336,270200488.27733326,PMMoV38
166-230419,448919802.9128206,420234719.2615383,481032276.7,PMMoV39
166-230421,170818838.97435898,165072421.17554238,176569686.97435895,PMMoV40
166-230424,316931803.3676191,240134672.6,390853701.60761905,PMMoV41
166-230426,136392742.6666667,86165790.26086956,184050529.56521744,PMMoV42
166-230428,277871502.5499232,245774529.5729647,311277853.0506913,PMMoV43
166-230501,471657642.7341772,416399322.3966245,524816739.98312235,PMMoV44
166-230503,314217303.70957094,298612044.4092409,328826158.9966996,PMMoV45
166-230505,310077334.66666675,302842321.1282051,317321033.94871795,PMMoV46
166-230508,288839307.8870057,279055613.6949153,299217267.2090395,PMMoV47
166-230512,319356800.43636364,181809840.3393939,460376383.4666667,PMMoV48
166-230515,392236147.2948148,377347041.37481475,407923213.27407414,PMMoV49
166-230517,273349619.9,248008915.1630592,296111963.65945166,PMMoV50
166-230519,434080847.5151515,401446881.0,468852243.00606066,PMMoV51
166-230522,485581752.20512825,474204888.5567766,496546572.7179488,PMMoV52
166-230526,738780544.3478261,726856928.1159421,750725079.9999999,PMMoV53
166-230531,352702415.4822007,309410495.2,396511593.8899676,PMMoV54
166-230602,455668425.1271478,446429422.4054983,464920599.7525773,PMMoV55
166-230605,397834405.55326456,377088451.07903785,420239215.8900344,PMMoV56
166-230607,282830013.64055306,274707462.5376344,290978385.1059908,PMMoV57
166-230609,305247574.2100457,229195521.31506848,380090833.68036526,PMMoV58
166-230612,281143391.9423424,262298331.04144147,299503184.83603615,PMMoV59
166-230614,327626241.4682861,282732272.9716599,378147964.3724696,PMMoV60
