state_name,county_name,year,median_age,average_household_income,per_capita_income
 Alabama,Autauga County,2020,38.6,57982.0,29804.0
 Alabama,Baldwin County,2020,43.2,61756.0,33751.0
 Alabama,Barbour County,2020,40.1,34990.0,20074.0
 Alabama,Bibb County,2020,39.9,51721.0,22626.0
 Alabama,Blount County,2020,41.0,48922.0,25457.0
 Alabama,Bullock County,2020,39.7,33866.0,20783.0
 Alabama,Butler County,2020,41.2,44850.0,23415.0
 Alabama,Calhoun County,2020,39.5,50128.0,26238.0
 Alabama,Cherokee County,2020,46.8,42509.0,26231.0
 Alabama,Chilton County,2020,39.5,52141.0,25894.0
 Alabama,Choctaw County,2020,46.6,36634.0,23292.0
 Alabama,Clarke County,2020,42.9,37345.0,24574.0
 Alabama,Clay County,2020,43.4,42678.0,25337.0
 Alabama,Cleburne County,2020,43.1,46320.0,24723.0
 Alabama,Coffee County,2020,39.5,56799.0,27912.0
 Alabama,Colbert County,2020,42.5,47962.0,25807.0
 Alabama,Conecuh County,2020,45.2,35444.0,20756.0
 Alabama,Coosa County,2020,49.0,43571.0,25083.0
 Alabama,Crenshaw County,2020,42.3,42611.0,26351.0
 Alabama,Cullman County,2020,41.2,48388.0,24770.0
 Alabama,Dallas County,2020,39.6,33317.0,19653.0
 Alabama,DeKalb County,2020,39.6,42267.0,22511.0
 Alabama,Escambia County,2020,39.4,35558.0,18587.0
 Alabama,Etowah County,2020,41.3,44934.0,25094.0
 Alabama,Franklin County,2020,39.2,41174.0,21503.0
 Alabama,Greene County,2020,44.6,26688.0,16425.0
 Alabama,Hale County,2020,40.8,30793.0,20652.0
 Alabama,Houston County,2020,40.2,49069.0,27794.0
 Alabama,Jackson County,2020,43.0,42578.0,23844.0
 Alabama,Lamar County,2020,44.3,42688.0,22299.0
 Alabama,Lauderdale County,2020,41.3,48428.0,28540.0
 Alabama,Lee County,2020,32.4,52930.0,28804.0
 Alabama,Lowndes County,2020,42.5,33634.0,21298.0
 Alabama,Macon County,2020,38.7,35450.0,22170.0
 Alabama,Marengo County,2020,41.8,33029.0,27975.0
 Alabama,Marion County,2020,44.5,40978.0,22486.0
 Alabama,Mobile County,2020,38.1,49625.0,26778.0
 Alabama,Monroe County,2020,43.5,31969.0,21885.0
 Alabama,Morgan County,2020,40.5,52923.0,28474.0
 Alabama,Pickens County,2020,42.5,40362.0,23476.0
 Alabama,Pike County,2020,30.8,39218.0,23784.0
 Alabama,Russell County,2020,36.7,42208.0,24300.0
 Alabama,St. Clair County,2020,40.5,62531.0,27941.0
 Alabama,Sumter County,2020,35.7,26150.0,16977.0
 Alabama,Tallapoosa County,2020,45.0,48160.0,25640.0
 Alabama,Tuscaloosa County,2020,33.2,54283.0,27609.0
 Alabama,Washington County,2020,43.8,42331.0,30391.0
 Alabama,Wilcox County,2020,40.9,35063.0,19031.0
 Alabama,Chambers County,2020,41.9,43875.0,24088.0
 Alabama,Covington County,2020,43.3,42566.0,25303.0
 Alabama,Dale County,2020,37.8,45644.0,24473.0
 Alabama,Elmore County,2020,38.7,62324.0,29585.0
 Alabama,Fayette County,2020,43.9,41469.0,23389.0
 Alabama,Geneva County,2020,43.6,41569.0,22415.0
 Alabama,Henry County,2020,44.7,51715.0,26011.0
 Alabama,Jefferson County,2020,37.9,55088.0,33343.0
 Alabama,Lawrence County,2020,42.6,47125.0,24779.0
 Alabama,Limestone County,2020,40.0,64270.0,28695.0
 Alabama,Madison County,2020,38.5,66887.0,38192.0
 Alabama,Marshall County,2020,39.2,50216.0,25861.0
 Alabama,Montgomery County,2020,36.7,51963.0,29543.0
 Alabama,Perry County,2020,38.5,23875.0,13833.0
 Alabama,Randolph County,2020,43.6,45141.0,24744.0
 Alabama,Shelby County,2020,39.5,78889.0,39711.0
 Alabama,Talladega County,2020,41.4,43969.0,24244.0
