sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-230106,305933.9812363636,288701.3984484848,322095.1426909091,COV_N0
166-230109,190790.3616609524,171726.78631619047,204682.77705142857,COV_N1
166-230111,202384.05769343063,188447.8269975669,214840.79852068124,COV_N2
166-230113,261004.94022418876,249742.8961415928,272269.30241887906,COV_N3
166-230118,423737.18004192866,406638.3474046121,440839.6594716981,COV_N4
166-230120,61378.11355380577,56298.683926509184,66834.9629,COV_N5
166-230123,237464.6721951219,224625.1144715447,250306.35427642273,COV_N6
166-230125,277176.44712788257,255388.22393291403,298607.43238574424,COV_N7
166-230127,1106958.4839716312,1069509.7361702127,1144661.7611347516,COV_N8
166-230130,316611.3017283951,295825.78554732515,334362.0143539095,COV_N9
166-230201,291899.9701,270044.52909090905,314522.30975757574,COV_N10
166-230203,533633.6206666668,473295.0705185185,572803.6385925927,COV_N11
166-230206,203697.94077192977,185558.5198596491,220003.99135438591,COV_N12
166-230208,378883.7960325203,361049.44738861785,395003.3792520325,COV_N13
166-230210,331477.60341141134,306824.87601201196,356713.99091891886,COV_N14
166-230213,314642.8678959811,290265.9062316785,344347.1850212766,COV_N15
166-230215,413044.3534222222,389108.7388,433053.6504888889,COV_N16
166-230217,539208.9675242048,518919.4210788383,559506.4073029046,COV_N17
166-230222,389758.95349518297,373378.01131406554,407109.4608400771,COV_N18
166-230224,1125637.722398081,1094118.845851319,1157167.649304556,COV_N19
166-230227,183213.4271721133,171000.11287145966,195428.58645751633,COV_N20
166-230301,196681.3070877193,176919.46863157893,215396.31221052635,COV_N21
166-230306,517454.3163544305,486366.2075949367,543440.6779409284,COV_N22
166-230308,224243.42779259253,200676.47296790124,245214.93791604936,COV_N23
166-230313,396468.04872427986,380284.0307489712,412655.5203292181,COV_N24
166-230315,385364.03891628626,360475.3746605784,416926.8325114157,COV_N25
166-230317,377615.0230588236,358967.58606162464,398419.9331316527,COV_N26
166-230320,312436.2279619048,297667.3186539683,330736.6023111111,COV_N27
166-230322,159487.87321518987,146515.92270042194,171908.2860421941,COV_N28
166-230324,37549.92450306057,25269.929368283043,44835.22613622749,COV_N29
166-230327,221542.94180128523,200298.14116065257,241825.95836361844,COV_N30
166-230329,502451.13078518526,449739.4212252724,563007.6921,COV_N31
166-230331,154756.26971387523,146250.83622523578,163263.20119622812,COV_N32
166-230403,270024.4653372323,242938.8923593336,307648.0646528392,COV_N33
166-230405,347685.6199596639,316116.03447563027,371845.7502168068,COV_N34
166-230410,353126.7997357465,337522.1523161388,369332.25112639513,COV_N35
166-230412,178204.96514742196,168787.3901129993,190092.5591099492,COV_N36
166-230414,213729.50438539556,201983.11214929007,225478.39826450308,COV_N37
166-230417,77358.45389628236,71280.96878757646,83436.67638588235,COV_N38
166-230419,163494.52785230766,149390.11221429863,180519.67911674213,COV_N39
166-230421,132395.71701552387,114422.7397814132,148494.27085833627,COV_N40
166-230424,57167.35339347901,50272.68405179161,65105.83701189918,COV_N41
166-230426,55830.671334015344,47109.603271202046,66369.72122557546,COV_N42
166-230428,68321.05345838981,60682.95286961236,76618.34295,COV_N43
166-230501,296842.3935594937,279648.6015,314039.8890615041,COV_N44
166-230503,72744.19409854397,64258.45955,79587.76923471171,COV_N45
166-230505,85015.33007873304,74540.63622805431,93626.52968,COV_N46
166-230508,88630.21456829514,80993.60497387836,98095.6164,COV_N47
166-230512,83477.97688812834,72785.84014631016,93939.52152,COV_N48
166-230515,131985.94217830064,123449.12737547712,140524.0466505621,COV_N49
166-230517,39194.37001517697,34740.34240765979,43555.355149070536,COV_N50
166-230519,72970.26413860962,67183.72081009626,79017.78047383958,COV_N51
166-230522,94873.12159379442,86441.35739056239,102737.11186451196,COV_N52
166-230526,56258.98306700768,46593.32302199488,63897.81852173913,COV_N53
166-230531,47243.24649640206,41443.10638282124,52942.048861679046,COV_N54
166-230602,39346.82009702852,33394.83534331111,45968.51804468164,COV_N55
166-230605,13631.793440679205,8314.910681188601,19084.767678156462,COV_N56
166-230607,18783.59229137436,15793.374314383303,22129.859520346978,COV_N57
166-230609,84255.87746312116,76166.95975675531,96157.63609046469,COV_N58
166-230612,36635.73952152624,28674.71334288077,43749.083016648656,COV_N59
166-230614,19219.97697089784,14928.768373422246,24264.72950405335,COV_N60
166-230616,13771.554955834508,11202.644572766678,16706.406122690685,COV_N61
166-230621,27152.724158713925,20976.552278845455,33639.33159354037,COV_N62
166-230623,15138.567769121832,12460.923947856149,18175.39769032618,COV_N63
166-230626,21971.974728309488,17759.193968924217,25945.82780718601,COV_N64
166-230628,44745.36575359199,40315.10106128661,49175.99988946183,COV_N65
166-230630,17634.15996009412,14705.444672470589,20928.441553035296,COV_N66
166-230703,2053.650910580075,1292.4171333777626,3018.906760584835,COV_N67
166-230705,32760.171988468468,27704.650783932168,38454.67832826709,COV_N68
166-230707,97019.7853549696,87339.19658742394,107392.40645354967,COV_N69
166-230710,34837.57104398664,27738.586504104805,44596.97461330593,COV_N70
166-230712,35365.49144010099,30674.85546251957,41811.01114611462,COV_N71
166-230714,18976.02445729533,15199.69798044876,22712.33813899333,COV_N72
166-230717,82279.88054818142,71637.13316138304,94090.03667355188,COV_N73
166-230719,10189.371928885548,8471.459701319302,12125.31711627138,COV_N74
166-230721,54858.45763123557,43882.79419758543,64756.35092319549,COV_N75
166-230724,65125.95972,60642.796190179884,69609.71295310323,COV_N76
166-230726,49540.89916,43257.14269510437,55078.99506459203,COV_N77
166-230728,55812.878836297314,48418.53159033288,63458.193519015054,COV_N78
166-230731,45549.57333477339,41425.91029940212,49673.64187278689,COV_N79
166-230802,58733.09316923077,52442.135930819495,64140.190922071386,COV_N80
166-230804,311634.42974290345,293208.32203950355,330158.7791844577,COV_N81
166-230807,33507.75538761201,29143.852214725368,37970.83023,COV_N82
166-230809,70589.86918066913,65009.57972027115,76170.81742191121,COV_N83
166-230816,190764.34636327563,178163.02410998847,213027.8171578316,COV_N84
166-230818,135309.87228482973,118963.84979484008,157489.8112396285,COV_N85
166-230821,136612.87229810486,128091.88770465174,145135.2402398228,COV_N86
166-230823,195472.4858715686,179665.4364401961,214041.3097,COV_N87
166-230825,49034.814868119574,44649.243344725175,53420.85819679846,COV_N88
166-230828,108491.62636754566,100558.52199350914,116425.90981419878,COV_N89
166-230830,174508.61705258104,159885.94525138056,189183.96950492193,COV_N90
166-230901,246262.2387340752,216098.61718876523,279813.8523896131,COV_N91
166-230906,121094.51362307165,113161.9906526894,129028.3323700618,COV_N92
166-230908,210527.49102036425,199111.03884861153,221945.98365888323,COV_N93
166-230911,112271.18809362227,96712.30315591332,132904.25777238392,COV_N94
166-230913,96340.76764281582,84734.25289180328,108375.1628729026,COV_N95
166-230915,235688.98736582635,210991.1006964208,266335.1387070028,COV_N96
166-230918,198155.84069019608,184469.85882352944,210853.12784313728,COV_N97
166-230920,235301.35962491352,218664.5326449827,251941.17734532873,COV_N98
166-230922,279792.70674998633,262756.79267633386,302364.3746145007,COV_N99
166-230925,226212.39666393865,214608.94047979545,238445.33517647063,COV_N100
166-230927,74546.71803409363,67825.76652869147,82092.58032,COV_N101
166-230929,695019.6033248595,668555.8304463495,720214.9617168194,COV_N102
166-231002,69796.20536024534,63503.23178143295,76089.85530593812,COV_N103
166-231004,89023.67090637946,78289.25815233361,100266.25575167082,COV_N104
166-231006,118361.43522052187,104192.0973799204,131687.90768049538,COV_N105
166-231011,60648.34371480934,51390.262731067094,70666.12862240616,COV_N106
166-231013,115719.06251528286,107695.93240821845,123743.27380444696,COV_N107
166-231016,61026.484932895735,54894.30684453421,68925.40896,COV_N108
166-231018,91744.27051834596,83369.76971927781,100119.90167128712,COV_N109
166-231020,440576.4996,418889.45967542863,463907.88306285726,COV_N110
166-231023,72535.06205750362,66098.94883810618,79072.85648711621,COV_N111
166-231025,154443.8873288574,135689.42624995383,173888.33469417924,COV_N112
166-231026,45111.90517,38658.368079077285,52292.175916032305,COV_N113
166-231030,154222.4012878276,137410.01423319743,167008.7071338381,COV_N114
166-231101,110421.28641497328,91791.50253903744,135346.68781818185,COV_N115
166-231103,462752.1431452805,438056.7443939809,485705.5392886457,COV_N116
166-231106,239958.04468595152,226709.76844401387,253208.6994945329,COV_N117
166-231108,496073.54249799874,478935.7802537295,512942.7954416011,COV_N118
166-231113,299031.32849662093,280380.2229106384,317686.38158097636,COV_N119
166-231115,211601.40431235693,198748.50580592183,224456.2503731544,COV_N120
166-231117,657937.2208688513,617979.7630420848,697913.6436983816,COV_N121
166-231120,191777.04842158023,177429.29533170903,209575.8054872259,COV_N122
166-231122,325581.0794447616,310675.26177570486,340489.9090043857,COV_N123
166-231127,1152378.6024476904,1116295.5094512438,1202331.1234551915,COV_N124
166-231129,621981.1627240336,584610.8124141176,660794.4930648739,COV_N125
166-231201,400059.62704284955,370413.3619747437,429477.5051173233,COV_N126
166-231204,642872.5262117648,553869.6636858825,741499.7617,COV_N127
166-231206,377405.4564085106,361973.9642,392840.5417882353,COV_N128
166-231208,676755.5275798319,602737.2173697479,754012.9911344539,COV_N129
166-231211,283355.05321573437,195479.42594933233,374618.2978736918,COV_N130
166-231213,89514.82425873798,79735.6985,100063.60855957224,COV_N131
166-231215,339408.33069286123,273187.899,396302.80502935464,COV_N132
166-231218,557464.7823477125,511359.3646515033,603562.3766,COV_N133
166-231220,437188.6102207413,402250.76686405984,473156.1157070384,COV_N134
166-231222,275495.4409219874,252007.6501016562,299163.0798053684,COV_N135
166-231226,735681.4739232735,680032.6556289856,806769.3175379367,COV_N136
166-231227,349863.7107132428,314169.5559635596,378019.6582,COV_N137
166-231229,779835.6269474512,724242.3607,834650.2269803922,COV_N138
166-240102,312866.15643793513,283320.2870309724,344807.6887068427,COV_N139
166-240103,755235.1931421735,722115.2567082752,787315.8934859423,COV_N140
166-240105,394194.7443504381,373005.17528110143,415389.2729992491,COV_N141
166-240108,559497.9208605041,536087.2968582633,582915.9071417367,COV_N142
166-240110,712277.7135,625710.4720852248,810111.6510458547,COV_N143
166-240112,126845.92516216473,103305.90120658824,151413.09436536473,COV_N144
166-240116,704264.1496470589,665794.9857221527,752042.9589887359,COV_N145
166-240117,383066.8969055343,355427.02811555867,411727.41400904977,COV_N146
166-240119,368528.0152285205,341494.4545354723,396900.2096755794,COV_N147
166-240122,753710.3573,716908.6497927529,798864.4058352943,COV_N148
166-240124,385868.4646378488,370508.8988289077,401231.3196606387,COV_N149
166-240126,386788.53503671545,342670.8680843269,427356.2812,COV_N150
166-240129,247613.12079058815,219453.1073979957,280312.02096522873,COV_N151
166-240131,155919.64559903962,139777.02740360145,169121.82216566626,COV_N152
166-240202,145783.75453917397,136374.10811214015,155194.7167459324,COV_N153
166-240205,329757.13938604656,300488.7624142271,357074.2819305062,COV_N154
166-240207,171614.71535366145,150280.19980120048,192880.1915409364,COV_N155
166-240209,783428.1856857782,748222.6726195086,821666.3532271036,COV_N156
166-240212,451351.69119179493,421770.11066015094,493844.474670528,COV_N157
166-240214,383277.1902809123,357373.7539713485,410635.3442240897,COV_N158
166-240216,340598.7498,321503.51650550286,362009.1814274511,COV_N159
166-240220,248464.7288404772,227165.62920937888,275934.8358871247,COV_N160
166-240221,375959.01844955754,338034.49847038003,404386.41094263416,COV_N161
106-221024,144125.75438596492,119813.503197995,171529.89898746868,COV_N162
106-221026,19524.178024186047,11971.452254263568,29737.924976124035,COV_N163
106-221028,0.0,0.0,0.0,COV_N164
106-221031,27111.236864468865,14088.142487912091,46417.690455677664,COV_N165
106-221102,63916.394967984925,50361.30643163842,79712.62529566855,COV_N166
106-221104,220178.73585585583,198656.94702702697,244338.3477237237,COV_N167
106-221107,48272.84997829457,39872.74244,57779.70765271319,COV_N168
106-221109,133613.76246153846,114976.46235897431,152731.84164102562,COV_N169
106-221111,62904.307846719166,21905.273280839898,91118.4897007874,COV_N170
106-221114,177863.23989821883,153337.2213740458,202121.7831246819,COV_N171
106-221116,223316.8326442953,205718.84055480984,240918.5115346756,COV_N172
106-221118,134322.03311827956,123981.13746236556,144963.99251612902,COV_N173
106-221121,86598.61378245614,67109.13807719298,105850.70826666664,COV_N174
106-221123,486845.02040081786,462388.7387484662,511073.6058895704,COV_N175
106-221125,240363.30298850575,209617.15876781617,275516.8520091954,COV_N176
106-221128,400847.6032941176,358686.82109803916,457303.2529,COV_N177
106-221130,923095.1468333332,866821.0506666667,979385.376,COV_N178
106-221219,191912.23484346224,133842.15914548805,254440.36384530383,COV_N179
106-221221,445992.1337904761,405264.60921904753,477978.2249142856,COV_N180
106-221228,3157026.1565532875,2983014.511020408,3336542.038639456,COV_N181
106-221230,1222224.8574097664,1141820.6926539275,1289426.378598726,COV_N182
106-230104,7447783.077568133,6934647.084,7812987.257023062,COV_N183
106-230106,6927464.261749408,6724896.802647755,7175923.809739953,COV_N184
106-230109,1090912.0126763284,1022469.1934299514,1155080.6755555554,COV_N185
106-230111,787760.0662068967,751028.2666666667,820589.6835,COV_N186
106-230113,459245.5583681592,438241.3797412935,477504.7871840795,COV_N187
106-230116,221192.639840796,202365.38181094523,240654.3523184079,COV_N188
106-230118,554907.1161550387,500509.1388527131,609335.5321550388,COV_N189
106-230123,269333.4338390805,246155.3771034483,292516.4453333333,COV_N190
106-230125,334497.8903979328,287323.1163204134,382620.4442790698,COV_N191
106-230127,315283.17759999994,269692.8915,360915.2985599999,COV_N192
106-230130,508589.2275662649,470114.5891726907,548983.4705220882,COV_N193
106-230201,453593.45275000005,398075.4614166667,514079.7694166667,COV_N194
106-230203,356371.1308706739,326129.4338797814,381579.5676211294,COV_N195
106-230206,619213.0413201319,574764.0880792078,663678.0087128712,COV_N196
106-230208,215803.82671345028,193935.6620350877,239260.0656842105,COV_N197
106-230210,134752.41036962022,117078.5397,156479.18771308014,COV_N198
106-230213,128280.71441568628,107270.18465882352,151877.53418039213,COV_N199
106-230215,173082.74452653926,136049.2422929936,209969.2472526539,COV_N200
106-230217,224523.13071844657,195719.4874822006,240889.1696569579,COV_N201
106-230220,277559.06844444445,253311.0325751634,301811.9413333334,COV_N202
106-230222,203760.14224936385,149285.12960814248,255041.4767226463,COV_N203
106-230224,430944.9629090909,406572.3868552188,454744.4353400673,COV_N204
106-230226,85924.97508571426,74150.17173333334,98887.09843809524,COV_N205
106-230301,251925.7675108481,236120.22021301775,267734.6856015779,COV_N206
106-230303,181613.6954719472,160269.38159735975,200618.49209240923,COV_N207
106-230306,99859.09592,88436.02948619958,112227.4783524416,COV_N208
106-230308,100320.9783716312,78942.82645106383,121262.84119148937,COV_N209
106-230310,85037.99877,76045.08564597701,98174.61039080458,COV_N210
106-230313,92263.40168050314,82542.76731572328,102691.83033962264,COV_N211
106-230315,188299.87134814812,174816.73914074074,202712.24977777776,COV_N212
106-230317,512588.8764563758,479092.5915346755,549680.5007606264,COV_N213
106-230320,46586.55145978494,40695.768787956986,52745.14639139784,COV_N214
106-230322,210107.25122807015,186785.2629,237425.90456140353,COV_N215
106-230324,108714.37436117652,96470.56551882353,122802.70940588236,COV_N216
106-230327,37188.24654109012,24858.079829379385,50018.598863335144,COV_N217
