sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-230106,256798.5997090909,241521.56945454548,270107.70855757577,COV_S0
166-230109,191460.7020495238,169996.48323047618,204427.1850666667,COV_S1
166-230111,183199.7130900243,171350.29816058392,195050.68737712892,COV_S2
166-230113,224964.82827138645,209426.11469026547,236799.72960471976,COV_S3
166-230118,363557.7315555555,347722.46735429764,382484.26009224314,COV_S4
166-230120,129150.71101312332,118627.39300787402,140969.19382677166,COV_S5
166-230123,233292.2462439024,220566.1680650406,246436.51453658537,COV_S6
166-230125,254705.57705660377,222968.5273626834,294444.9818700209,COV_S7
166-230127,713979.6805673757,678163.5148936169,751481.9965957446,COV_S8
166-230201,266997.25066666666,251607.54812121217,280115.9656363636,COV_S9
106-221024,130168.47502756891,107134.1760802005,156298.18562406013,COV_S10
106-221026,70317.62768372093,55024.15146666668,88219.17985736435,COV_S11
106-221028,45730.743964963505,32718.02730510948,61810.532912895374,COV_S12
106-221031,36149.50354285715,20757.69263589743,57744.31263882785,COV_S13
106-221102,47090.70281280603,35590.95666741996,60836.99314500942,COV_S14
106-221104,207319.63195195192,171995.63839039035,238185.45869069063,COV_S15
106-221107,54933.681041860465,45940.04062015504,65032.655875968994,COV_S16
106-221109,133613.76246153846,113823.64127179484,155237.90211282048,COV_S17
106-221111,56911.693782677175,19802.511521259847,82493.60933123362,COV_S18
106-221114,174179.95073791346,159564.2147989822,188797.9288753181,COV_S19
106-221116,187213.13818344515,152345.14956599553,218317.44572706937,COV_S20
106-221118,112302.25720430107,101864.96860215052,122317.5089892473,COV_S21
106-221121,97297.67517192982,87488.71651929825,107815.48485614032,COV_S22
106-221123,414887.53557464207,393859.3016278118,437711.6260122698,COV_S23
106-221125,114702.46591264367,104098.8790436782,125307.36816551724,COV_S24
106-221128,359299.75325490197,318367.56541176466,418203.2043137254,COV_S25
106-221130,923095.1468333332,844360.8283333333,1004164.3778333332,COV_S26
106-221219,171803.4973,135560.13583793736,210104.47687661136,COV_S27
106-221221,422735.95900952374,397152.6372571428,448322.9138285713,COV_S28
106-221228,2881057.565895691,2821782.325986394,2963421.5343310656,COV_S29
106-221230,1183153.0272611463,1127835.2190233544,1223775.0984288747,COV_S30
106-230104,6590441.049895178,5887719.879916142,7062997.494339622,COV_S31
106-230106,5797371.938345153,5590113.286,6049203.281702126,COV_S32
106-230109,884519.9363091786,832406.5276908211,936648.3826086954,COV_S33
106-230111,661455.0360275862,603428.9831724139,714379.5320643679,COV_S34
106-230113,385396.05588059704,362956.4882786069,401611.176278607,COV_S35
106-230116,214773.92772139303,190629.2094726368,234426.1093731343,COV_S36
106-230118,287729.7413953488,250426.04353488373,328581.6991421188,COV_S37
106-230123,313288.3927356322,288288.1602758621,338294.4348505747,COV_S38
106-230125,281466.40272868215,253656.68795865632,310272.0393591731,COV_S39
106-230127,287742.6655999999,244482.0659,329848.4038399999,COV_S40
106-230130,444595.52077108424,420521.22679518064,468673.6447228915,COV_S41
51-220627,115168.23160259178,104715.86223182146,128060.86476025918,COV_S42
51-220629,149307.40827491408,137161.17624742267,163078.80626804123,COV_S43
51-220701,280602.88863030303,259660.2238060606,302829.6269,COV_S44
51-220704,213659.86172405368,195327.796,231418.40933821732,COV_S45
51-220706,732538.5242105264,580097.4661754386,937151.2561,COV_S46
51-220708,286140.50035249046,261209.0421455939,309274.87080459774,COV_S47
51-220711,561180.0594782608,527766.3521,594602.0043,COV_S48
51-220713,455142.8152150073,384520.6476652237,538663.9219624819,COV_S49
51-220715,254903.1967179487,209797.23815384615,306070.0440615385,COV_S50
51-220718,190905.66497652588,160895.54907042257,224446.88323004695,COV_S51
51-220720,967653.4019047616,914836.9196190472,1013535.926095238,COV_S52
51-220722,685641.1112,655723.0259304702,715570.9297341511,COV_S53
51-220727,524857.5068535031,473280.2729171973,576079.4799830148,COV_S54
51-220729,205359.10539563865,173150.45173831776,238654.11588785044,COV_S55
51-220731,400181.55472261074,384314.7260419581,416051.1932867133,COV_S56
51-220803,370526.12305454543,289122.76454141416,443713.1939555555,COV_S57
51-220804,184930.29280000005,162839.94248888892,208937.41182222223,COV_S58
51-220808,122965.28635336975,115077.52078688524,130853.9691,COV_S59
51-220810,280040.2091959596,265599.5995151516,294483.56240808085,COV_S60
51-220812,55399.15834599157,34175.21691,82715.58575527427,COV_S61
51-220815,316920.4394285714,286812.32819047617,341464.61028571427,COV_S62
51-220817,187030.1563870968,169885.84046451614,204175.90812903224,COV_S63
51-220819,351828.0223524417,250146.12477282385,418343.0601104034,COV_S64
51-220822,30673.575129533685,21001.727115716752,46148.53195164076,COV_S65
51-220824,188038.71485943775,157464.20742168673,215340.0436947791,COV_S66
51-220826,386868.8888888888,279990.46696296294,473990.07545679016,COV_S67
51-220829,1122695.0755555555,1003789.5486419752,1235733.1259259258,COV_S68
51-220831,841688.0289777779,798514.7264000003,884870.2325333334,COV_S69
51-220902,1062892.832680851,1014029.753078014,1111773.876425532,COV_S70
51-220905,269741.11892063485,255225.8325079365,284934.604,COV_S71
51-220908,556492.9634213836,488831.62203773594,608174.6419119496,COV_S72
51-220909,551763.0667467467,515073.9728528528,592153.1272072073,COV_S73
51-220912,457594.0787148594,410630.8044337349,497149.9768032128,COV_S74
51-220914,664203.0913471264,593110.8847,731291.3215264368,COV_S75
51-220916,640604.1195789474,613560.5661192983,667653.2945964913,COV_S76
51-220918,109828.76059259262,97501.46039506172,122830.3673580247,COV_S77
51-220921,604975.7592757202,574615.8552757201,635341.5657613169,COV_S78
51-220922,126935.74029166668,71094.43841666667,179934.52150000003,COV_S79
51-220926,275119.2427118644,261759.93581920903,288481.8901242938,COV_S80
51-220928,248322.52003980093,228691.9361592039,267955.1917,COV_S81
51-220930,382080.0452817204,362333.5643526882,404507.5447053764,COV_S82
51-221003,192327.8334463277,177172.43990960452,207487.56967231637,COV_S83
51-221005,189135.39871861477,170357.17984415588,209249.81845887445,COV_S84
51-221007,207087.2736732026,186707.3658,228352.7898039215,COV_S85
51-221010,557142.0234385965,447382.1070877193,657463.5421754387,COV_S86
51-221012,751579.6778006873,722085.9595876287,782246.7502405498,COV_S87
