sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-230106,24922.388252121214,19877.332630303034,29337.935015757575,INF_A0
166-230109,18721.845717333337,15410.399664761906,22477.50418285714,INF_A1
166-230111,10721.268157664232,7435.222031727492,13855.40973625304,INF_A2
166-230113,11153.870980530974,8544.051894,13984.829276696164,INF_A3
166-230118,5506.403041006289,3774.5979599161424,7701.499907756813,INF_A4
166-230120,5462.082666666666,3714.8133350131225,7224.330124934383,INF_A5
166-230123,13173.16535934959,10380.26519,16427.288208130078,INF_A6
166-230125,11559.711309014674,7750.754086373166,14694.852649056602,INF_A7
166-230127,30994.340885106376,26789.65169361702,35726.03658439716,INF_A8
166-230130,36492.583190123456,31724.16255473251,41717.25065349794,INF_A9
166-230201,5724.529876969697,1936.113292727273,9173.321,INF_A10
166-230203,5397.300477037037,3595.335891851852,7719.784422222223,INF_A11
166-230206,4761.673693192983,3171.9168028070176,6810.659272982455,INF_A12
166-230208,3013.7471068617883,1110.1501741788618,4936.3403785365845,INF_A13
166-230210,3587.7134707507503,2101.7082820420414,5112.148261861861,INF_A14
166-230213,3172.656040851064,1600.2571892198582,5067.5784442553195,INF_A15
166-230215,7327.078328888889,5141.092551111111,10059.444350707072,INF_A16
166-230217,6078.8440829875535,4166.971433692946,8502.222194190872,INF_A17
166-230222,2060.3492772254335,632.4398496,3527.353723930635,INF_A18
166-230224,8774.147905995202,6277.816187242206,11858.463286330933,INF_A19
166-230227,0.0,0.0,0.0,INF_A20
166-230301,0.0,0.0,0.0,INF_A21
166-230306,4766.985334008439,2630.5491409282704,7260.232533333334,INF_A22
166-230308,0.0,0.0,0.0,INF_A23
166-230313,0.0,0.0,0.0,INF_A24
166-230315,3905.9411808828017,2379.989877869102,5823.9834496194835,INF_A25
166-230317,7355.1777694117645,4162.271817142858,10400.828862745098,INF_A26
166-230320,0.0,0.0,0.0,INF_A27
166-230322,3034.8741049789023,761.8371443037973,5369.5762207594935,INF_A28
166-230324,0.0,0.0,0.0,INF_A29
166-230327,5464.595835887298,3452.4680010756306,8033.053095687594,INF_A30
166-230329,0.0,0.0,0.0,INF_A31
166-230331,1400.3816211728786,727.7265721418951,2397.478585,INF_A32
166-230403,0.0,0.0,0.0,INF_A33
166-230405,0.0,0.0,0.0,INF_A34
166-230410,0.0,0.0,0.0,INF_A35
166-230412,1490.7856249740985,774.7061759612685,2552.2511393541513,INF_A36
166-230414,0.0,0.0,0.0,INF_A37
166-230417,1431.4811144960004,743.8878818484707,2450.720529,INF_A38
