sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-230106,0.0,0.0,0.0,INF_B0
166-230109,0.0,0.0,0.0,INF_B1
166-230111,0.0,0.0,0.0,INF_B2
166-230113,0.0,0.0,0.0,INF_B3
166-230118,0.0,0.0,0.0,INF_B4
166-230120,0.0,0.0,0.0,INF_B5
166-230123,0.0,0.0,0.0,INF_B6
166-230125,0.0,0.0,0.0,INF_B7
166-230127,0.0,0.0,0.0,INF_B8
166-230130,0.0,0.0,0.0,INF_B9
166-230201,0.0,0.0,0.0,INF_B10
166-230203,0.0,0.0,0.0,INF_B11
166-230206,0.0,0.0,0.0,INF_B12
166-230208,0.0,0.0,0.0,INF_B13
166-230210,0.0,0.0,0.0,INF_B14
166-230213,0.0,0.0,0.0,INF_B15
166-230215,0.0,0.0,0.0,INF_B16
166-230217,0.0,0.0,0.0,INF_B17
166-230222,0.0,0.0,0.0,INF_B18
166-230224,0.0,0.0,0.0,INF_B19
166-230227,0.0,0.0,0.0,INF_B20
166-230301,0.0,0.0,0.0,INF_B21
166-230306,0.0,0.0,0.0,INF_B22
166-230308,0.0,0.0,0.0,INF_B23
166-230313,0.0,0.0,0.0,INF_B24
166-230315,0.0,0.0,0.0,INF_B25
166-230317,0.0,0.0,0.0,INF_B26
166-230320,0.0,0.0,0.0,INF_B27
166-230322,0.0,0.0,0.0,INF_B28
166-230324,0.0,0.0,0.0,INF_B29
166-230327,0.0,0.0,0.0,INF_B30
166-230329,0.0,0.0,0.0,INF_B31
166-230331,0.0,0.0,0.0,INF_B32
166-230403,0.0,0.0,0.0,INF_B33
166-230405,0.0,0.0,0.0,INF_B34
166-230410,0.0,0.0,0.0,INF_B35
166-230412,0.0,0.0,0.0,INF_B36
166-230414,0.0,0.0,0.0,INF_B37
166-230417,0.0,0.0,0.0,INF_B38
166-230419,0.0,0.0,0.0,INF_B39
166-230421,0.0,0.0,0.0,INF_B40
166-230424,0.0,0.0,0.0,INF_B41
166-230426,0.0,0.0,0.0,INF_B42
166-230428,0.0,0.0,0.0,INF_B43
166-230501,0.0,0.0,0.0,INF_B44
166-230503,0.0,0.0,0.0,INF_B45
166-230505,0.0,0.0,0.0,INF_B46
166-230508,0.0,0.0,0.0,INF_B47
166-230512,0.0,0.0,0.0,INF_B48
166-230515,2206.401566276601,848.0658079037909,3767.950712679739,INF_B49
166-230517,0.0,0.0,0.0,INF_B50
166-230519,0.0,0.0,0.0,INF_B51
166-230522,0.0,0.0,0.0,INF_B52
166-230526,0.0,0.0,0.0,INF_B53
166-230531,0.0,0.0,0.0,INF_B54
166-230602,0.0,0.0,0.0,INF_B55
166-230605,0.0,0.0,0.0,INF_B56
166-230607,0.0,0.0,0.0,INF_B57
166-230609,1791.3889347730326,930.9181292,3066.8919683352137,INF_B58
166-230612,0.0,0.0,0.0,INF_B59
166-230614,0.0,0.0,0.0,INF_B60
166-230616,0.0,0.0,0.0,INF_B61
166-230621,0.0,0.0,0.0,INF_B62
166-230623,0.0,0.0,0.0,INF_B63
166-230626,0.0,0.0,0.0,INF_B64
166-230628,0.0,0.0,0.0,INF_B65
166-230630,0.0,0.0,0.0,INF_B66
166-230703,0.0,0.0,0.0,INF_B67
166-230705,0.0,0.0,0.0,INF_B68
166-230707,0.0,0.0,0.0,INF_B69
166-230710,0.0,0.0,0.0,INF_B70
166-230712,0.0,0.0,0.0,INF_B71
166-230714,0.0,0.0,0.0,INF_B72
166-230717,0.0,0.0,0.0,INF_B73
166-230719,0.0,0.0,0.0,INF_B74
166-230721,0.0,0.0,0.0,INF_B75
166-230724,0.0,0.0,0.0,INF_B76
166-230726,1755.733003500569,888.1097242,2674.011618501708,INF_B77
166-230728,0.0,0.0,0.0,INF_B78
166-230731,0.0,0.0,0.0,INF_B79
