sample_id,site_id,collection_date,year
166-230106,0,1/6/23,2023
166-230109,0,1/9/23,2023
166-230111,0,1/11/23,2023
166-230113,0,1/13/23,2023
166-230118,0,1/18/23,2023
166-230120,0,1/20/23,2023
166-230123,0,1/23/23,2023
166-230125,0,1/25/23,2023
166-230127,0,1/27/23,2023
166-230130,0,1/30/23,2023
166-230201,0,2/1/23,2023
166-230203,0,2/3/23,2023
166-230206,0,2/6/23,2023
166-230208,0,2/8/23,2023
166-230210,0,2/10/23,2023
166-230213,0,2/13/23,2023
166-230215,0,2/15/23,2023
166-230217,0,2/17/23,2023
166-230222,0,2/22/23,2023
166-230224,0,2/24/23,2023
166-230227,0,2/27/23,2023
166-230301,0,3/1/23,2023
166-230306,0,3/6/23,2023
166-230308,0,3/8/23,2023
166-230313,0,3/13/23,2023
166-230315,0,3/15/23,2023
166-230317,0,3/17/23,2023
166-230320,0,3/20/23,2023
166-230322,0,3/22/23,2023
166-230324,0,3/24/23,2023
166-230327,0,3/27/23,2023
166-230329,0,3/29/23,2023
166-230331,0,3/31/23,2023
166-230403,0,4/3/23,2023
166-230405,0,4/5/23,2023
166-230410,0,4/10/23,2023
166-230412,0,4/12/23,2023
166-230414,0,4/14/23,2023
166-230417,0,4/17/23,2023
166-230419,0,4/19/23,2023
166-230421,0,4/21/23,2023
166-230424,0,4/24/23,2023
166-230426,0,4/26/23,2023
166-230428,0,4/28/23,2023
166-230501,0,5/1/23,2023
166-230503,0,5/3/23,2023
166-230505,0,5/5/23,2023
166-230508,0,5/8/23,2023
166-230512,0,5/12/23,2023
166-230515,0,5/15/23,2023
166-230517,0,5/17/23,2023
166-230519,0,5/19/23,2023
166-230522,0,5/22/23,2023
166-230526,0,5/26/23,2023
166-230531,0,5/31/23,2023
166-230602,0,6/2/23,2023
166-230605,0,6/5/23,2023
166-230607,0,6/7/23,2023
166-230609,0,6/9/23,2023
166-230612,0,6/12/23,2023
166-230614,0,6/14/23,2023
166-230616,0,6/16/23,2023
166-230621,0,6/21/23,2023
166-230623,0,6/23/23,2023
166-230626,0,6/26/23,2023
166-230628,0,6/28/23,2023
166-230630,0,6/30/23,2023
166-230703,0,7/3/23,2023
166-230705,0,7/5/23,2023
166-230707,0,7/7/23,2023
166-230710,0,7/10/23,2023
166-230712,0,7/12/23,2023
166-230714,0,7/14/23,2023
166-230717,0,7/17/23,2023
166-230719,0,7/19/23,2023
166-230721,0,7/21/23,2023
166-230724,0,7/24/23,2023
166-230726,0,7/26/23,2023
166-230728,0,7/28/23,2023
166-230731,0,7/31/23,2023
166-230802,0,8/2/23,2023
166-230804,0,8/4/23,2023
166-230807,0,8/7/23,2023
166-230809,0,8/9/23,2023
166-230816,0,8/16/23,2023
166-230818,0,8/18/23,2023
166-230821,0,8/21/23,2023
166-230823,0,8/23/23,2023
166-230825,0,8/25/23,2023
166-230828,0,8/28/23,2023
166-230830,0,8/30/23,2023
166-230901,0,9/1/23,2023
166-230906,0,9/6/23,2023
166-230908,0,9/8/23,2023
166-230911,0,9/11/23,2023
